,0,1,2,3,4
10.0,0.6199013327442752,0.6222575657168102,0.6465400191443929,0.5777070907886017,0.5919860054475439
3.1622776601683795,0.7181341580148737,0.710960901259112,0.7261438774758854,0.6820911567631249,0.6899596130365361
1.0,0.7336131359988219,0.7341963036595244,0.7058522936455343,0.6353611663353215,0.7344968066121913
0.31622776601683794,0.7091068404388484,0.7318783594727929,0.7098667255724909,0.6433325970105295,0.754772471118625
0.1,0.7125572490980046,0.7378425741845225,0.7728252705986304,0.6423194168323394,0.7508394383394382
0.03162277660168379,0.7110566232236213,0.7402989470583904,0.777331566158604,0.6383432736911863,0.7769735606274067
0.01,0.751147927251307,0.7725719755540829,0.7535660113393713,0.6378366836020912,0.7577838827838829
0.0031622776601683794,0.7501538914660187,0.739849790148001,0.7490685516530448,0.6370959428613504,0.75063985160139
0.001,0.752356969295339,0.7698240188498637,0.7558073779544953,0.6413253810470512,0.7568270404808867
0.00031622776601683794,0.7088535453943008,0.7821633163979089,0.7041749502982108,0.6393373094764746,0.7590283647975957
0.0001,0.7088535453943008,0.7400839407996466,0.7477446432516015,0.6433134526176276,0.7560697849159388
3.1622776601683795e-05,0.7088535453943008,0.7378425741845225,0.7557882335615934,0.637349237905898,0.7732577251808022
1e-05,0.7088535453943008,0.7378425741845225,0.7555540829099477,0.637349237905898,0.7215236686390534
3.162277660168379e-06,0.7088535453943008,0.7383300198807158,0.7562948236506885,0.637349237905898,0.7547900817131588
1e-06,0.7088535453943008,0.735854502613946,0.7555540829099477,0.637349237905898,0.7555473372781064
3.162277660168379e-07,0.7088535453943008,0.735854502613946,0.7555540829099477,0.637349237905898,0.7607424626655396
1e-07,0.7088535453943008,0.735854502613946,0.7555540829099477,0.637349237905898,0.7572790457405844
3.162277660168379e-08,0.7088535453943008,0.735854502613946,0.7555540829099477,0.637349237905898,0.7572790457405844
1e-08,0.7088535453943008,0.735854502613946,0.7555540829099477,0.637349237905898,0.7572790457405844
3.1622776601683795e-09,0.7088535453943008,0.735854502613946,0.7555540829099477,0.637349237905898,0.7572790457405844
1e-09,0.7088535453943008,0.735854502613946,0.7555540829099477,0.637349237905898,0.7572790457405844
