,train,test
0.1,0.19241159999999696,0.004648600000000158
0.2,0.2696991999999995,0.004068200000001809
0.3,0.19171719999999795,0.004033999999998627
0.4,0.2680123999999978,0.004084999999999184
0.5,0.3702269999999984,0.0033767999999994914
0.6,0.3426813999999993,0.0028901999999987995
0.7,0.41329100000000096,0.002554400000001067
0.8,0.5493097999999975,0.0017804000000012365
0.9,0.4556520000000006,0.0011799999999979605
