param_MLP__max_iter,train acc,test acc
1,0.5661188425005522,0.5679534141072603
2,0.5957249098004566,0.5522212829905138
4,0.6167380899786465,0.6066967220813374
8,0.6468934540902732,0.6126138818446512
16,0.6920550769457331,0.6315159199774585
32,0.7370208379353508,0.6692495538649386
64,0.7688299830645755,0.6722785761247301
128,0.7938767395626243,0.6555367709213864
256,0.8121993962153008,0.669390438621208
512,0.8121993962153008,0.669390438621208
1024,0.8121993962153008,0.669390438621208
2048,0.8121993962153008,0.669390438621208
2100,0.8121993962153008,0.669390438621208
2200,0.8121993962153008,0.669390438621208
2300,0.8121993962153008,0.669390438621208
2400,0.8121993962153008,0.669390438621208
2500,0.8121993962153008,0.669390438621208
2600,0.8121993962153008,0.669390438621208
2700,0.8121993962153008,0.669390438621208
2800,0.8121993962153008,0.669390438621208
2900,0.8121993962153008,0.669390438621208
3000,0.8121993962153008,0.669390438621208
