mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.017862606048583984,0.0016916949002487942,0.0014765739440917968,0.00027078151833033465,relu,10.0,"(21,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 1e-06}",0.49838650531719847,0.4489915658232492,0.4316098276494318,0.44981481481481483,0.4348148148148148,0.45274117748503784,0.02398952563769119,3319,0.4375621890547265,0.4496268656716419,0.452432283029298,0.44356217259443054,0.4575062034739453,0.44813794276480845,0.006945600011986006
0.04985799789428711,0.012972323007654865,0.001007843017578125,0.0002582549960785812,relu,10.0,"(21,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.001}",0.5795746241290797,0.5546754675467548,0.5214888155482217,0.5227777777777778,0.566111111111111,0.5489331672273056,0.02325805927912839,1956,0.5453012714206745,0.5517965726920953,0.5434355997788833,0.5830668137119749,0.5920871243451888,0.5631374763897634,0.02034782961013305
0.031812191009521484,0.010786094435685055,0.0007083892822265625,3.440683269558832e-05,relu,10.0,"(21,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.002}",0.5746241290795747,0.5646497983131649,0.4966629996332968,0.5744444444444444,0.5696296296296296,0.5559749763884143,0.029912780506791397,1883,0.5406440022111665,0.548922056384743,0.5628385848535102,0.5933278191342707,0.5994761510890544,0.5690417227345489,0.023519265856420477
0.026580095291137695,0.0074559814836249235,0.0007498264312744141,4.7066750285906354e-05,relu,10.0,"(21,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.004}",0.580858085808581,0.5681701503483683,0.5570957095709572,0.5555555555555555,0.5733333333333333,0.5670069100854626,0.009619315619781178,1785,0.5325041459369819,0.5927169707020453,0.5989082365948039,0.5976242992372024,0.5935874460068008,0.5830682196955668,0.02539001244673239
0.02202572822570801,0.0028431235062927945,0.0007648944854736328,9.250018993593331e-05,relu,10.0,"(21,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.008}",0.613971397139714,0.5694169416941697,0.5608360836083611,0.5466666666666665,0.5357407407407407,0.5653673212539139,0.026935790505970197,1809,0.5795881702598121,0.5917910447761195,0.5991708126036485,0.591365683301167,0.5879216064699935,0.5899674634821481,0.006354484419048535
0.017258644104003906,0.006145315226238751,0.0010282516479492188,0.000636823967256078,relu,10.0,"(21,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.016}",0.6276494316098278,0.5854418775210856,0.5249724972497251,0.5416666666666666,0.569074074074074,0.5697853415788664,0.035777736887413716,1775,0.6100055279159757,0.5764096185737978,0.5879076838032062,0.5882731366602334,0.592884385626321,0.5910960705159068,0.010904973967234098
0.01969900131225586,0.006355160204495485,0.0006981372833251953,1.631689098828261e-05,relu,10.0,"(21,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.032}",0.6486615328199489,0.5657132379904659,0.6116244957829118,0.6125925925925926,0.569074074074074,0.6015513527866652,0.030935463806934807,1211,0.6301686014372583,0.5940160309563297,0.6307213930348259,0.6430268357687712,0.5776996599577245,0.6151265042309819,0.024876955196407563
0.02281637191772461,0.0021349818463405725,0.000740671157836914,6.960166446773339e-05,relu,10.0,"(21,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.064}",0.6275760909424277,0.6004767143381006,0.5671433810047672,0.6081481481481481,0.6116666666666667,0.6029904766084985,0.02000311348762895,1184,0.6073797678275291,0.6206467661691544,0.6333195135433941,0.6255675029868577,0.6097532395919492,0.619333358023777,0.00970432005184954
0.0205564022064209,0.0037282418114236793,0.0007379055023193359,6.107221164001869e-05,relu,10.0,"(21,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (21,), 'MLP__learning_rate_init': 0.128}",0.638760542720939,0.586798679867987,0.560909424275761,0.5275925925925926,0.6094444444444445,0.5847286115142358,0.038373280344837654,1498,0.6180210060807076,0.6086788280818133,0.6001105583195137,0.5577382593511625,0.6034946236559139,0.5976086550978221,0.020831540534184238
0.010677528381347657,0.0004104737786026062,0.0007688999176025391,0.00010935363842987034,relu,10.0,"(10,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (10,), 'MLP__learning_rate_init': 1e-06}",0.5150348368170151,0.5422075540887423,0.4718005133846719,0.4775925925925926,0.4614814814814815,0.4936642893208393,0.030290256984943406,3274,0.4907407407407408,0.4768242122719735,0.49852128247650634,0.5004411359250068,0.5025709953129307,0.49381967334543164,0.009389995254275793
