mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.021949386596679686,0.01044955662640905,0.0022499561309814453,0.0003657752850655984,1,{'MLP__max_iter': 1},0.5770077007700771,0.5757242390905759,0.48918225155848927,0.5548148148148148,0.5607407407407407,0.5514832807559195,0.03232888830868514,22,0.5553206191265894,0.5440989496959648,0.576354339414041,0.5648079220659865,0.5631973164231229,0.560755829345141,0.010702214543792736
0.02478799819946289,0.00521611046556663,0.0026110172271728515,0.0008671560104765069,2,{'MLP__max_iter': 2},0.6203520352035204,0.5906123945727907,0.5102676934360104,0.5561111111111112,0.5955555555555554,0.5745776296644944,0.038153086028334914,21,0.5715174129353234,0.5851713653952461,0.6053344389165285,0.593621909750942,0.5864557485525227,0.5884201751101126,0.011074903780960755
0.023731708526611328,0.0010569009612731977,0.0012352943420410156,3.040501577970501e-05,4,{'MLP__max_iter': 4},0.6240557389072242,0.6203153648698204,0.5820315364869822,0.566111111111111,0.6253703703703704,0.6035901283959749,0.024656005610105915,20,0.6127971254836927,0.6168739635157547,0.6292012161415147,0.6264359893392151,0.6168251998897161,0.6204266988739786,0.0062754575729718366
0.05387039184570312,0.0015136490409012279,0.0012586593627929687,5.658480112011991e-05,8,{'MLP__max_iter': 8},0.6524019068573524,0.6610561056105613,0.5795379537953795,0.5772222222222223,0.6188888888888888,0.6178549738109069,0.035167007726372115,19,0.6384051962410173,0.6346462133775567,0.6550995024875623,0.6446213583310356,0.6325475599669146,0.6410639660808173,0.008129416974975968
0.11863083839416504,0.012213346351344922,0.0014075279235839845,0.00018072018836905307,16,{'MLP__max_iter': 16},0.6697469746974698,0.6722038870553724,0.5943894389438945,0.6085185185185185,0.6701851851851851,0.6430150096220714,0.034237477927482884,18,0.6834162520729686,0.6774599226091765,0.6898700939745717,0.6830645161290322,0.6722314125539931,0.6812084394679484,0.005966273656432261
0.2852926731109619,0.005450802516669246,0.0014539241790771484,6.808616839895733e-05,32,{'MLP__max_iter': 32},0.6796479647964797,0.7006967363403007,0.6079941327466082,0.6185185185185185,0.6925925925925925,0.6598973479690923,0.03880924274187956,17,0.7312327252625761,0.7231619679380875,0.741763405196241,0.7478218913702784,0.7168412829703152,0.7321642545474997,0.011436849679987414
0.517850685119629,0.05565976420671634,0.0015126705169677735,0.0001949498205777235,64,{'MLP__max_iter': 64},0.7044004400440045,0.7118445177851119,0.6525119178584526,0.6362962962962961,0.7274074074074075,0.68649999408543,0.03550972652817277,1,0.7669568822553898,0.7721945826423441,0.7771697070204533,0.7831541218637993,0.7667470820696627,0.7732444751703299,0.0062683452163315775
1.0720081806182862,0.02869891055245757,0.0016117572784423828,0.00026721072812076435,128,{'MLP__max_iter': 128},0.6674000733406676,0.7094242757609094,0.6599559955995601,0.6351851851851853,0.7162962962962963,0.6776556107789613,0.03071992200921654,2,0.7983692647871753,0.8051686014372582,0.8126312880044224,0.8092087124345189,0.7980240786692399,0.804680389066523,0.005798234481962904
2.053631067276001,0.008394335869694724,0.0014858722686767578,0.00016949695774266997,256,{'MLP__max_iter': 256},0.6501283461679502,0.7205720572057207,0.6327466079941328,0.658888888888889,0.7237037037037037,0.6771840016486087,0.03765484172446209,3,0.8402017689331124,0.8351990049751244,0.847636815920398,0.8485226541678155,0.8240051465857917,0.8391130781164484,0.009010538707556527
2.475837993621826,0.4035010727482644,0.0015018463134765625,0.00010996276354803352,512,{'MLP__max_iter': 512},0.6414741474147416,0.7205720572057207,0.6401540154015403,0.6488888888888888,0.6975925925925925,0.6697303905546187,0.03308434341128216,4,0.8529021558872306,0.8351990049751244,0.8622166943062466,0.8451153386637258,0.8277456116165793,0.8446357610897813,0.01226362104399152
2.1354305267333986,0.3646977327472444,0.0013463497161865234,6.819554930795144e-05,1024,{'MLP__max_iter': 1024},0.6414741474147416,0.7205720572057207,0.6401540154015403,0.6488888888888888,0.6975925925925925,0.6697303905546187,0.03308434341128216,4,0.8529021558872306,0.8351990049751244,0.8622166943062466,0.8451153386637258,0.8277456116165793,0.8446357610897813,0.01226362104399152
2.0438663482666017,0.31591936429364953,0.001329326629638672,0.00023294257031479214,2048,{'MLP__max_iter': 2048},0.6414741474147416,0.7205720572057207,0.6401540154015403,0.6488888888888888,0.6975925925925925,0.6697303905546187,0.03308434341128216,4,0.8529021558872306,0.8351990049751244,0.8622166943062466,0.8451153386637258,0.8277456116165793,0.8446357610897813,0.01226362104399152
2.4431520462036134,0.4308169694686165,0.0015116214752197265,0.00016629523443879765,2100,{'MLP__max_iter': 2100},0.6414741474147416,0.7205720572057207,0.6401540154015403,0.6488888888888888,0.6975925925925925,0.6697303905546187,0.03308434341128216,4,0.8529021558872306,0.8351990049751244,0.8622166943062466,0.8451153386637258,0.8277456116165793,0.8446357610897813,0.01226362104399152
2.041700506210327,0.40389125436536183,0.001366567611694336,6.823678018593565e-05,2200,{'MLP__max_iter': 2200},0.6414741474147416,0.7205720572057207,0.6401540154015403,0.6488888888888888,0.6975925925925925,0.6697303905546187,0.03308434341128216,4,0.8529021558872306,0.8351990049751244,0.8622166943062466,0.8451153386637258,0.8277456116165793,0.8446357610897813,0.01226362104399152
