param_MLP__max_iter,train acc,test acc
1,0.651984389956557,0.6183666760589838
2,0.6522789190781239,0.6173804827650982
4,0.7175274280244459,0.6712689020381328
8,0.7642515278698181,0.6810838733915657
16,0.7828849127457478,0.6613834883065652
32,0.7701494735291953,0.6390062928524467
64,0.7701494735291953,0.6390062928524467
128,0.7701494735291953,0.6390062928524467
256,0.7701494735291953,0.6390062928524467
512,0.7701494735291953,0.6390062928524467
1024,0.7701494735291953,0.6390062928524467
2048,0.7701494735291953,0.6390062928524467
2100,0.7701494735291953,0.6390062928524467
2200,0.7701494735291953,0.6390062928524467
2300,0.7701494735291953,0.6390062928524467
2400,0.7701494735291953,0.6390062928524467
2500,0.7701494735291953,0.6390062928524467
2600,0.7701494735291953,0.6390062928524467
2700,0.7701494735291953,0.6390062928524467
2800,0.7701494735291953,0.6390062928524467
2900,0.7701494735291953,0.6390062928524467
3000,0.7701494735291953,0.6390062928524467
